Kingdom	Phylum	Class	Order	Family	Genus	Species
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium 5	uncultured Ruminococcaceae bacterium
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium 5	
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium 5	
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium 5	uncultured bacterium
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	uncultured	
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	uncultured	
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	uncultured	
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-013	uncultured Clostridiales bacterium
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium 1	uncultured bacterium
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Papillibacter	
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005	
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005	uncultured Ruminococcaceae bacterium
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium	uncultured bacterium
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium	uncultured bacterium
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter	
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter	
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter	uncultured Oscillibacter sp.
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter	uncultured Oscillibacter sp.
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae NK4A214 group	
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
